gluon	chi	scale	bin0	bin1	bin2	bin3	bin4	bin5
400	25	6.341	6	9	6	6	2	3
400	75	6.333	15	19	14	7	6	4
400	125	6.34	59	30	38	16	6	1
400	175	6.372	85	62	77	58	13	4
400	225	6.392	120	103	131	124	23	8
400	275	6.418	92	104	136	169	54	27
400	325	6.402	58	79	130	160	100	46
400	375	6.476	53	47	93	173	144	117
450	25	3.061	11	17	10	10	4	2
450	75	3.059	28	29	26	15	4	0
450	125	3.082	46	42	47	38	16	2
450	175	3.048	86	87	88	77	26	9
450	225	3.071	100	123	135	122	59	18
450	275	3.086	113	108	158	213	105	37
450	325	3.114	90	110	180	238	153	57
450	375	3.139	46	67	124	227	205	121
450	425	3.13	49	62	97	195	212	211
500	25	1.561	13	23	21	15	10	4
500	75	1.562	31	33	15	29	12	2
500	125	1.565	69	42	48	50	17	7
500	175	1.575	67	91	85	79	41	13
500	225	1.574	101	120	140	149	53	21
500	275	1.603	118	133	170	235	131	39
500	325	1.581	89	111	212	326	172	83
500	375	1.584	73	94	171	289	230	133
500	425	1.566	58	91	117	251	241	210
500	475	1.568	49	71	110	206	256	394
550	25	0.826	23	24	21	19	8	5
550	75	0.835	25	32	29	40	19	5
550	125	0.831	61	58	67	53	33	9
550	175	0.834	64	82	89	105	44	20
550	225	0.83	93	115	135	138	68	39
550	275	0.856	118	124	154	239	133	73
550	325	0.836	105	123	193	323	203	112
550	375	0.833	105	146	203	356	273	172
550	425	0.835	91	99	196	350	321	225
550	475	0.835	47	58	148	264	321	385
550	525	0.833	52	49	86	239	331	534
600	25	0.456	26	27	26	37	12	7
600	75	0.459	33	27	30	43	26	11
600	125	0.457	65	39	62	78	43	20
600	175	0.46	86	63	94	117	52	38
600	225	0.458	109	116	130	165	84	43
600	275	0.461	116	141	147	239	135	84
600	325	0.461	112	134	191	308	227	124
600	375	0.461	130	120	206	350	276	171
600	425	0.458	90	110	212	344	330	270
600	475	0.457	89	96	170	360	384	378
600	525	0.457	53	77	103	299	385	512
600	575	0.458	50	59	115	233	314	711
650	25	0.258	30	30	21	35	26	13
650	75	0.26	44	49	47	55	25	16
650	125	0.259	54	70	61	81	50	32
650	175	0.26	83	68	86	130	82	42
650	225	0.259	110	93	118	184	99	81
650	275	0.258	98	118	173	236	163	121
650	325	0.259	110	126	156	345	237	175
650	375	0.257	92	107	171	386	305	258
650	425	0.259	97	130	182	339	356	362
650	475	0.257	88	128	192	355	404	420
650	525	0.258	49	97	139	322	422	526
650	575	0.259	55	68	119	273	346	656
650	625	0.258	33	70	104	264	341	907
700	25	0.15	32	43	41	44	26	22
700	75	0.149	45	45	33	71	35	33
700	125	0.15	57	53	93	97	64	39
700	175	0.15	68	90	103	161	90	47
700	225	0.149	88	117	127	185	123	97
700	275	0.15	88	97	178	221	194	151
700	325	0.151	104	128	174	281	216	195
700	375	0.15	98	114	183	339	281	274
700	425	0.151	91	131	192	337	328	361
700	475	0.15	89	104	168	352	380	455
700	525	0.149	64	87	158	400	421	591
700	575	0.15	55	79	146	319	433	728
700	625	0.149	55	56	115	271	341	931
700	675	0.149	57	47	94	229	347	1182
750	25	0.08899	23	28	49	50	31	19
750	75	0.08889	49	43	45	70	46	41
750	125	0.08821	54	50	86	120	63	65
750	175	0.08863	66	69	72	131	96	76
750	225	0.08814	83	83	115	215	147	124
750	275	0.08804	95	110	156	228	203	213
750	325	0.08821	88	116	175	280	226	259
750	375	0.08849	67	138	198	317	362	313
750	425	0.08875	67	130	172	311	344	432
750	475	0.08835	100	104	175	365	387	545
750	525	0.08889	98	101	183	372	428	603
750	575	0.0887	57	96	155	334	438	671
750	625	0.08848	48	65	147	314	444	980
750	675	0.08861	57	53	125	253	384	1038
750	725	0.08915	35	50	98	215	344	1384
800	25	0.05328	24	29	44	56	50	35
800	75	0.05324	60	58	72	84	63	41
800	125	0.05332	58	60	87	131	80	77
800	175	0.05291	78	70	87	148	125	108
800	225	0.05343	65	87	122	211	151	160
800	275	0.05328	93	91	184	226	178	216
